Business Partner;Naam;Service Adres ;Postcode;Woonplaats;Uitvoerdatum;KG;Aantal;Volume;Totaal volume;Gewicht per m3;Chauffeursbon;Contract;Afvalsoort;Periode;KG vergelijk;Afvalsoort vergelijk;Norm
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;24-01-2020;33;1;660;660;50;8808123 - 0170;55583216;Ongesorteerd papier en karton, Ind;2020-01;33;Ongesorteerd papier en karton, Ind;50
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;14-01-2020;99;1;1100;1100;90;8767454 - 0241;55583216;Bedrijfsafval;2020-01;99;Bedrijfsafval;90
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;07-01-2020;120;1;1100;1100;109,0909091;8747628 - 0250;55583216;Bedrijfsafval;2020-01;120;Bedrijfsafval;90
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;29-01-2020;4;1;240;240;15,83333333;8803154 - 0379;55583216;PBD Bedrijven;2020-01;4;PBD Bedrijven;50
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;10-01-2020;30;1;660;660;45,45454545;8783284 - 0014;55583216;Ongesorteerd papier en karton, Ind;2020-01;30;Ongesorteerd papier en karton, Ind;50
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;15-01-2020;10;2;240;480;20;8751970 - 0390;55583216;PBD Bedrijven;2020-01;10;PBD Bedrijven;50
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;17-01-2020;85;1;1100;1100;77,27272727;8780615 - 0278;55583216;Bedrijfsafval;2020-01;85;Bedrijfsafval;90
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;22-01-2020;3;1;240;240;11,66666667;8777639 - 0369;55583216;PBD Bedrijven;2020-01;3;PBD Bedrijven;50
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;10-01-2020;45;1;1100;1100;40,90909091;8756267 - 0281;55583216;Bedrijfsafval;2020-01;45;Bedrijfsafval;90
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;31-01-2020;14;1;660;660;21,93030303;8833826 - 0195;55583216;Ongesorteerd papier en karton, Ind;2020-01;14;Ongesorteerd papier en karton, Ind;50
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;31-01-2020;85;1;1100;1100;77,27272727;8833562 - 0273;55583216;Bedrijfsafval;2020-01;85;Bedrijfsafval;90
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;31-01-2020;11;2;240;480;21,92916667;8833826 - 0193;55583216;Ongesorteerd papier en karton, Ind;2020-01;11;Ongesorteerd papier en karton, Ind;50
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;24-01-2020;24;2;240;480;50;8808123 - 0168;55583216;Ongesorteerd papier en karton, Ind;2020-01;24;Ongesorteerd papier en karton, Ind;50
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;24-01-2020;110;1;1100;1100;100;8806629 - 0279;55583216;Bedrijfsafval;2020-01;110;Bedrijfsafval;90
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;21-01-2020;125;1;1100;1100;113,6363636;8793210 - 0247;55583216;Bedrijfsafval;2020-01;125;Bedrijfsafval;90
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;17-01-2020;21;2;240;480;43,86041667;8782407 - 0200;55583216;Ongesorteerd papier en karton, Ind;2020-01;21;Ongesorteerd papier en karton, Ind;50
7001298557;Conservatorium Hoofdgebouw;Bonnefantenstraat 15;6211 KL;MAASTRICHT;17-01-2020;29;1;660;660;43,85909091;8782407 - 0202;55583216;Ongesorteerd papier en karton, Ind;2020-01;29;Ongesorteerd papier en karton, Ind;50
7001298561;Amphytrion Hoge Hotelschool;Bethlehemweg 2;6222 BM;MAASTRICHT;10-01-2020;40;1;660;660;60,60606061;8783284 - 0165;55584144;Ongesorteerd papier en karton, Ind;2020-01;40;Ongesorteerd papier en karton, Ind;50
7001298561;Keuken Hoge Hotelschool;Bethlehemweg 2;6222 BM;MAASTRICHT;21-01-2020;110;2;1100;2200;50;8792790 - 0171;55586168;Ongesorteerd papier en karton, Ind;2020-01;110;Ongesorteerd papier en karton, Ind;50
7001298561;Hotel Hoge Hotelschool;Bethlehemweg 2;6222 BM;MAASTRICHT;10-01-2020;33;1;660;660;50;8783284 - 0004;55584939;Ongesorteerd papier en karton, Ind;2020-01;33;Ongesorteerd papier en karton, Ind;50
7001298561;Keuken Hoge Hotelschool;Bethlehemweg 2;6222 BM;MAASTRICHT;31-01-2020;55;1;1100;1100;50;8833826 - 0198;55586168;Ongesorteerd papier en karton, Ind;2020-01;55;Ongesorteerd papier en karton, Ind;50
7001298561;Keuken Hoge Hotelschool;Bethlehemweg 2;6222 BM;MAASTRICHT;10-01-2020;79;3;120;360;220;8741978 - 0390;55586168;Swill;2020-01;79;Swill;460
7001298561;Keuken Hoge Hotelschool;Bethlehemweg 2;6222 BM;MAASTRICHT;10-01-2020;265;2;2500;5000;53;8756099 - 0133;55586168;Bedrijfsafval;2020-01;265;Bedrijfsafval;90
7001298561;Keuken Hoge Hotelschool;Bethlehemweg 2;6222 BM;MAASTRICHT;28-01-2020;83;2;240;480;172,0833333;8798546 - 0402;55586168;Glas, bont flessen-;2020-01;83;Glas, bont flessen-;210
7001298561;Amphytrion Hoge Hotelschool;Bethlehemweg 2;6222 BM;MAASTRICHT;07-01-2020;64;1;240;240;265,8333333;8733400 - 0468;55584144;Glas, bont flessen-;2020-01;64;Glas, bont flessen-;210
7001298561;Amphytrion Hoge Hotelschool;Bethlehemweg 2;6222 BM;MAASTRICHT;08-01-2020;320;1;2500;2500;128;8750697 - 0043;55584144;Bedrijfsafval;2020-01;320;Bedrijfsafval;90
