Som van KG;Naam;;;;;;;;;;;;
Afvalsoort;Toneelacademie;Academie Beeldende Kunsten;Brusselseweg;Conservatorium Dependance;Conservatorium Hoofdgebouw;Nieuw Eyckholt;Keuken Hoge Hotelschool;Hotel Hoge Hotelschool;Amphytrion Hoge Hotelschool;Maas/Kanjel Hoge Hotelschool Campus;De Ligne 1;Geul Hoge Hotelschool Campus;Eindtotaal
Afvalolie (geen afgewerkte olie);;;;;;267;;;;;;;267
Anorganische basen;;;;;;105;;;;;;;105
Anorganische zuren;;;;;;474;;;;;;;474
Bedrijfsafval;49.103;98.494;68.920;17.631;28.152;169.361;114.313;61.249;67.076;5.875;45.108;8.920;734.203
Glas, bont flessen-;1.416;1.130;24;;;3.015;11.522;11.116;18.606;659;2.384;694;50.565
Oplosmiddelen halogeenarm (kvp);;;;;;1.153;;;;;;;1.153
Ongesorteerd papier en karton, Ind;9.931;22.085;32.077;5.157;7.945;57.561;37.544;15.357;7.127;1.023;25.657;1.334;222.798
Oplosmiddelen, halogeenrijk;;;;;;123;;;;;;;123
Opruimafval/filters met chem.resten;;;;;;190;;;;;;;190
PBD Bedrijven;1.482;1.546;1.262;479;69;790;2.802;1.663;3.408;;3.482;;16.983
Koffiedik;;;144;;;;1.736;;743;;5.065;;7.688
Bedrijfsafval, grof;9.100;9.660;15.680;1.640;;10.620;;;;;;;46.700
BSA gemengd;;1.700;;;;;;;;;;;1.700
Frituurvet;;58;;;;;2.855;;;;;;2.913
Swill;;;64;;;1.133;12.047;;6;;6.265;;19.516
Verf/inkt vast/pasteus, milieugev (kvp);;;;;;468;;;;;;;468
Batterijen (droog);;;;;;171;;;;;;;171
Kantoorafval KGA;;;;;;5;;;;;;;5
Kwikhoudend afval;;;;;;30;;;;;;;30
Labchemicalien;;;;;;110;;;;;;;110
RMA/Specifiek Ziekenhuis Afval;;;;;;370;;;;;;;370
Vertrouwelijk Archief;268;771;7.776;;1.093;24.092;4.454;;;;11.867;;50.321
Vertrouw.archief, sterk vervuild;;;1.400;;;;;;;;;;1.400
Bedrijfsafval ter vernietiging shredderi;;;;;;0;;;;;;;0
Klein kunststof ter vernietiging;;;;;;18;;;;;;;18
Polyamide (PA);;;;;;0;;;;;;;0
TL lampen, rechte;;;;;;7;;;;;;;7
Ontwikkelaar, plaat;;;;;;34;;;;;;;34
Oliefilters;;;;;;74;;;;;;;74
Spuitbussen;;;;;;16;;;;;;;16
Boor-, snij-, slijp-, walsolie en emulsi;;;;;;179;;;;;;;179
Beeldschermen;;;;;;381;;;;;;;381
Elektronica;;;;;;21;;;;;;;21
Koelkasten (witgoed);;;;;;152;;;;;;;152
PD Bedrijven;;;;60;;9;;;;;;;69
Inktafval vast/pasteus (kvp);;;;;;88;;;;;;;88
Latex (kvp);;;;;;514;;;;;;;514
Lijm/hars/kit vast/pasteus (kvp);;;;;;52;;;;;;;52
TL lampen, overig;;;;;;80;;;;;;;80
Lampen, ongesorteerd;;;;;;13;;;;;;;13
Koelvloeistof, monoethyleenglycol;;;;;;40;;;;;;;40
Eindtotaal;71.301;135.444;127.347;24.967;37.259;271.716;187.272;89.385;96.966;7.557;99.829;10.948;1.159.991
